Employee_ID,Name,Highest_Degree,Skill,Work_Experience,Experience,Role,Certifications,Location
E448,amber rodriguez,Bachelor,['html'],5,Mid-level,Product Manager,"['HTML Certification', 'Web Design Fundamentals']",andersonport
E4696,ms. haley baker,Master,"['python', 'react', 'html']",13,Senior-level,Product Manager,"['Python Certification', 'React Native Development', 'HTML Certification']",scottmouth
E1411,julie brooks,Master,"['html', 'javascript', 'java']",11,Senior-level,UI/UX Designer,"['Web Design Fundamentals', 'Java EE', 'HTML Certification']",carlosmouth
E6297,ronald henderson,Ph.D.,['python'],1,Entry-level,Product Manager,"['Advanced Python', 'Python Certification']",paulshire
E1609,alex evans,Master,"['javascript', 'react', 'css', 'java', 'python', 'html']",6,Mid-level,Software Engineer,"['Advanced Python', 'Java Certification', 'React Certification']",port leslie
E3132,kevin munoz,Ph.D.,"['html', 'java']",10,Senior-level,Software Engineer,"['Java EE', 'HTML Certification', 'Web Design Fundamentals']",port jessicamouth
E4974,melissa clayton,Ph.D.,['javascript'],3,Entry-level,Web Developer,"['JavaScript Certification', 'React Certification']",hernandeztown
E4290,jordan raymond,Bachelor,"['python', 'java', 'javascript', 'css', 'react']",3,Entry-level,Product Manager,"['Python Certification', 'JavaScript Certification', 'React Certification']",east austin
E3092,kaitlyn cameron,Master,"['java', 'html', 'python', 'javascript']",4,Entry-level,Data Scientist,"['Advanced Python', 'JavaScript Certification', 'React Certification']",new michaeltown
E7544,charles robinson,Ph.D.,['python'],11,Senior-level,Software Engineer,"['Advanced Python', 'Python Certification']",santosfort
E1431,donald lopez,Ph.D.,"['python', 'javascript']",5,Mid-level,Product Manager,"['Advanced Python', 'Python Certification', 'React Certification']",reginamouth
E5364,mr. dale nelson,Ph.D.,"['javascript', 'java', 'html']",13,Senior-level,Web Developer,"['Java EE', 'JavaScript Certification', 'HTML Certification']",patelshire
E5404,elizabeth campbell,Master,"['python', 'java', 'javascript', 'html', 'css', 'react']",8,Mid-level,Web Developer,"['Web Design Fundamentals', 'Advanced CSS', 'HTML Certification']",wilkersonbury
E6526,nicholas williams,Ph.D.,"['java', 'css', 'javascript']",13,Senior-level,Web Developer,"['JavaScript Certification', 'React Certification', 'Java EE']",north emilyhaven
E6941,penny hubbard,Bachelor,['java'],2,Entry-level,Product Manager,"['Java EE', 'Java Certification']",christopherton
E408,clayton lowe,Master,"['react', 'javascript']",11,Senior-level,Data Scientist,"['React Native Development', 'JavaScript Certification', 'React Certification']",huntburgh
E1844,edwin flores,Master,"['python', 'html', 'react', 'java']",10,Senior-level,DevOps Engineer,"['Java EE', 'React Certification', 'Web Design Fundamentals']",north natalie
E6129,amanda frey,Bachelor,"['html', 'react', 'css', 'javascript']",13,Senior-level,UI/UX Designer,"['CSS Certification', 'Web Design Fundamentals', 'React Native Development']",east charleston
E7801,christine wilson,Bachelor,"['css', 'html', 'react', 'python', 'java']",8,Mid-level,DevOps Engineer,"['HTML Certification', 'React Certification', 'Java EE']",rebeccaview
E9566,tanner wilson,Ph.D.,['java'],10,Senior-level,Product Manager,"['Java EE', 'Java Certification']",andrewberg
E4409,daniel warren,Bachelor,['javascript'],9,Mid-level,Product Manager,"['React Certification', 'JavaScript Certification']",walkerstad
E2648,christopher schmidt,Master,['css'],1,Entry-level,Software Engineer,"['CSS Certification', 'Advanced CSS']",port ryanville
E4419,heather collins,Bachelor,['python'],3,Entry-level,DevOps Engineer,"['Python Certification', 'Advanced Python']",lake gabrielabury
E199,heather douglas,Ph.D.,"['css', 'javascript']",11,Senior-level,Data Scientist,"['CSS Certification', 'Advanced CSS', 'JavaScript Certification']",east jonfurt
E4813,alexander oneill,Ph.D.,"['css', 'react', 'java']",8,Mid-level,UI/UX Designer,"['React Native Development', 'Java EE', 'Advanced CSS']",jacksonstad
E2584,robert lewis,Ph.D.,"['python', 'javascript']",4,Entry-level,DevOps Engineer,"['Advanced Python', 'JavaScript Certification', 'React Certification']",north christopher
E5634,jennifer yates,Master,"['css', 'javascript']",14,Senior-level,Software Engineer,"['React Certification', 'JavaScript Certification', 'CSS Certification']",lake stacey
E6517,paul anderson,Bachelor,['javascript'],7,Mid-level,Web Developer,"['JavaScript Certification', 'React Certification']",pattonmouth
E1817,james parker,Master,['java'],6,Mid-level,Data Scientist,"['Java EE', 'Java Certification']",gregorychester
E4454,patrick patterson,Bachelor,"['javascript', 'react', 'html', 'python', 'java']",11,Senior-level,DevOps Engineer,"['HTML Certification', 'Advanced Python', 'Python Certification']",cynthiachester
E3496,robert jones,Bachelor,"['css', 'javascript', 'python', 'html', 'react']",6,Mid-level,UI/UX Designer,"['HTML Certification', 'Advanced Python', 'CSS Certification']",davidview
E2955,gary lee,Master,"['java', 'react']",3,Entry-level,Web Developer,"['React Native Development', 'Java EE', 'React Certification']",north courtneyview
E1086,sara burch,Master,"['css', 'html', 'java', 'react', 'python', 'javascript']",7,Mid-level,UI/UX Designer,"['React Certification', 'HTML Certification', 'Java EE']",south cindyview
E7877,charles rivera,Master,"['react', 'java', 'html', 'python']",15,Senior-level,Product Manager,"['HTML Certification', 'Advanced Python', 'React Native Development']",west sean
E5941,alison butler,Bachelor,"['python', 'react', 'javascript']",1,Entry-level,Product Manager,"['React Certification', 'Advanced Python', 'Python Certification']",lake rebeccaville
E5883,linda murphy,Master,"['react', 'python', 'javascript', 'css']",13,Senior-level,UI/UX Designer,"['Python Certification', 'React Certification', 'CSS Certification']",lake rogerbury
E9583,elizabeth weber,Master,"['css', 'java', 'javascript', 'react']",2,Entry-level,Product Manager,"['Java EE', 'Advanced CSS', 'Java Certification']",east reneehaven
E3792,karen herrera,Bachelor,"['java', 'react', 'css', 'javascript', 'html']",7,Mid-level,Software Engineer,"['React Certification', 'React Certification', 'HTML Certification']",lawsonstad
E4035,christine lee phd,Ph.D.,['html'],5,Mid-level,UI/UX Designer,"['HTML Certification', 'Web Design Fundamentals']",lake markland
E9115,carrie gibson,Bachelor,"['css', 'react', 'javascript', 'java', 'html', 'python']",14,Senior-level,Web Developer,"['React Certification', 'JavaScript Certification', 'React Certification']",brendantown
E5588,nicholas wiley,Master,"['react', 'javascript', 'css', 'java', 'python']",6,Mid-level,Product Manager,"['CSS Certification', 'React Native Development', 'Advanced CSS']",south tylerton
E6204,shelia archer,Bachelor,['css'],4,Entry-level,Web Developer,"['Advanced CSS', 'CSS Certification']",leeview
E2605,jessica holmes,Bachelor,['react'],15,Senior-level,UI/UX Designer,"['React Certification', 'React Native Development']",shannonburgh
E5502,kathy martinez,Bachelor,"['css', 'react', 'java', 'html', 'python']",3,Entry-level,DevOps Engineer,"['React Certification', 'HTML Certification', 'React Native Development']",port wyattfurt
E8508,margaret cherry,Master,"['python', 'javascript', 'react', 'java']",7,Mid-level,UI/UX Designer,"['React Certification', 'JavaScript Certification', 'Advanced Python']",new lynnstad
E9204,john gordon,Ph.D.,"['css', 'javascript', 'react', 'html', 'java', 'python']",9,Mid-level,Web Developer,"['CSS Certification', 'JavaScript Certification', 'Java EE']",port misty
E2469,dr. gabriel wong,Ph.D.,"['react', 'java', 'javascript']",2,Entry-level,Data Scientist,"['Java Certification', 'JavaScript Certification', 'React Certification']",east charles
E1984,james willis,Master,"['java', 'css']",6,Mid-level,Data Scientist,"['Java EE', 'CSS Certification', 'Java Certification']",lake selena
E2871,pamela stewart,Ph.D.,"['react', 'javascript', 'css', 'java', 'html']",1,Entry-level,UI/UX Designer,"['CSS Certification', 'Java EE', 'React Certification']",new kathleenton
E2906,jennifer holland,Ph.D.,"['javascript', 'css', 'python', 'react', 'java']",13,Senior-level,Software Engineer,"['React Certification', 'Python Certification', 'Advanced CSS']",new andrewside
E4867,curtis smith,Bachelor,"['react', 'java']",6,Mid-level,Data Scientist,"['React Native Development', 'React Certification', 'Java EE']",murphymouth
E3696,christina anderson,Bachelor,"['react', 'javascript', 'css', 'java']",15,Senior-level,Product Manager,"['CSS Certification', 'React Certification', 'Java EE']",gregorychester
